CID,Odor dilution,EDIBLE,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_imidazole,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_nitrile,fr_nitro,fr_nitro_arom,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_piperdine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfone,fr_thiazole,fr_thiophene,fr_unbrch_alkane
126,1,,,31.0,,,,,,,,,,,,,,,,,24.0,10.036148904006048,0.18111111111111122,10.036148904006048,0.18111111111111122,0.5681374031144323,122.12299999999996,116.07499999999997,122.036779432,46.0,0.14955257942872063,-0.5079662192772983,0.5079662192772983,0.14955257942872063,1.2222222222222223,1.7777777777777777,2.2222222222222223,16.254671434379397,10.219470738982345,1.8642614979672374,-1.8812488889366306,2.065017561178296,-1.7425298637374638,5.742491118031543,0.11183426047546817,3.0097819477866006,200.66106510209752,6.690234444311989,4.7422132319119505,4.7422132319119505,4.325698502695488,2.5693513977862263,2.5693513977862263,1.7093833532782527,1.7093833532782527,1.029170897844233,1.029170897844233,0.5528892650877558,0.5528892650877558,-1.31,129.22533870330605,5.820039011703511,2.306763635550358,1.2877050319358112,52.75210108613335,5.106527394840706,12.03567235641346,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.26546827384644,5.563451491696996,0.0,9.901064578912528,6.286160523129555,0.0,0.0,0.0,0.0,0.0,29.828919765543436,5.749511833283905,0.0,0.0,5.749511833283905,0.0,11.39268791797026,0.0,0.0,10.357988675768818,24.26546827384644,0.0,37.3,0.0,4.794537184071822,5.749511833283905,5.563451491696996,6.286160523129555,12.13273413692322,12.13273413692322,0.0,0.0,5.106527394840706,0.0,0.0,10.036148904006048,8.736258503401361,0.5766666666666669,0.18111111111111122,6.067592592592592,0.7355555555555555,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.2046999999999997,33.494299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0,,,17.0,8.0,,,,,24.0,,,,20.0,,,,,,10.5,28.0,10.036148904006048,0.18111111111111122,10.036148904006048,0.18111111111111122,0.5681374031144323,122.12299999999996,116.07499999999997,122.036779432,46.0,0.14955257942872063,-0.5079662192772983,0.5079662192772983,0.14955257942872063,1.2222222222222223,1.7777777777777777,2.2222222222222223,16.254671434379397,10.219470738982345,1.8642614979672374,-1.8812488889366306,2.065017561178296,-1.7425298637374638,5.742491118031543,0.11183426047546817,3.0097819477866006,200.66106510209752,6.690234444311989,4.7422132319119505,4.7422132319119505,4.325698502695488,2.5693513977862263,2.5693513977862263,1.7093833532782527,1.7093833532782527,1.029170897844233,1.029170897844233,0.5528892650877558,0.5528892650877558,-1.31,129.22533870330605,5.820039011703511,2.306763635550358,1.2877050319358112,52.75210108613335,5.106527394840706,12.03567235641346,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.26546827384644,5.563451491696996,0.0,9.901064578912528,6.286160523129555,0.0,0.0,0.0,0.0,0.0,29.828919765543436,5.749511833283905,0.0,0.0,5.749511833283905,0.0,11.39268791797026,0.0,0.0,10.357988675768818,24.26546827384644,0.0,37.3,0.0,4.794537184071822,5.749511833283905,5.563451491696996,6.286160523129555,12.13273413692322,12.13273413692322,0.0,0.0,5.106527394840706,0.0,0.0,10.036148904006048,8.736258503401361,0.5766666666666669,0.18111111111111122,6.067592592592592,0.7355555555555555,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.2046999999999997,33.494299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0,,,,,,,,,,,,,,,,,,,,,9.0,-0.8333333333333333,9.0,0.8333333333333333,0.4298828832001217,60.05200000000001,56.02,60.021129368000004,24.0,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.0,2.0,2.0,16.36392906806316,10.854985217204096,1.6509951854331453,-1.5897739953032324,1.4156543939895587,-1.7770437432804953,5.624779759282926,-0.1339289924624054,2.8030394876740514,27.019550008653873,3.5773502691896257,2.355461885963821,2.355461885963821,1.7320508075688772,0.9277309429819105,0.9277309429819105,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.059948994465934,5.106527394840706,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,37.3,5.969305287951849,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.0,0.5,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09089999999999993,13.309800000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,1,,,,,,,,,,,,,,,,,,,,,9.0,-0.8333333333333333,9.0,0.8333333333333333,0.4298828832001217,60.05200000000001,56.02,60.021129368000004,24.0,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.0,2.0,2.0,16.36392906806316,10.854985217204096,1.6509951854331453,-1.5897739953032324,1.4156543939895587,-1.7770437432804953,5.624779759282926,-0.1339289924624054,2.8030394876740514,27.019550008653873,3.5773502691896257,2.355461885963821,2.355461885963821,1.7320508075688772,0.9277309429819105,0.9277309429819105,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.059948994465934,5.106527394840706,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,37.3,5.969305287951849,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.0,0.5,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09089999999999993,13.309800000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,1,,,24.0,,,,,,,,,,,,,,,,,,8.805555555555555,0.75,8.805555555555555,0.75,0.35500761339323206,44.053,40.021,44.026214748,18.0,0.1164052831422626,-0.30371526986366926,0.30371526986366926,0.1164052831422626,2.0,2.0,2.0,16.12814585089842,10.960294041682554,1.2409923070832758,-1.2348845535859683,1.1286964310315497,-1.3580303671411733,5.439544344589547,-0.10561046336263406,2.1874960973678963,10.264662506490405,2.7071067811865475,1.9855985596534889,1.9855985596534889,1.4142135623730951,0.8130525295851417,0.8130525295851417,0.2357022603955159,0.2357022603955159,0.0,0.0,0.0,0.0,-0.33,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.265715242269923,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,17.07,0.0,0.0,0.0,0.0,6.286160523129555,6.923737199690624,0.0,0.0,0.0,4.794537184071822,0.0,0.0,8.805555555555555,0.0,0.0,0.0,0.0,0.75,1.4444444444444444,0.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2052,11.738000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,0,,,32.0,,,,,,,,,,,,,,,,,8.0,8.805555555555555,0.75,8.805555555555555,0.75,0.35500761339323206,44.053,40.021,44.026214748,18.0,0.1164052831422626,-0.30371526986366926,0.30371526986366926,0.1164052831422626,2.0,2.0,2.0,16.12814585089842,10.960294041682554,1.2409923070832758,-1.2348845535859683,1.1286964310315497,-1.3580303671411733,5.439544344589547,-0.10561046336263406,2.1874960973678963,10.264662506490405,2.7071067811865475,1.9855985596534889,1.9855985596534889,1.4142135623730951,0.8130525295851417,0.8130525295851417,0.2357022603955159,0.2357022603955159,0.0,0.0,0.0,0.0,-0.33,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.265715242269923,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,17.07,0.0,0.0,0.0,0.0,6.286160523129555,6.923737199690624,0.0,0.0,0.0,4.794537184071822,0.0,0.0,8.805555555555555,0.0,0.0,0.0,0.0,0.75,1.4444444444444444,0.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2052,11.738000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1,,,,,,,,,,,,,,,,,,,,,9.444444444444445,0.16666666666666696,9.444444444444445,0.16666666666666696,0.3982369618339747,58.08,52.032,58.041864812,24.0,0.12626794356014373,-0.30034390268719197,0.30034390268719197,0.12626794356014373,1.5,1.5,1.5,16.136528004376032,10.550822254593742,1.6191254887288415,-1.5578363654489198,1.5007222223890127,-1.6913205217908898,5.717069246232807,-0.11449259533352314,2.8030394876740514,26.264662506490403,3.5773502691896257,2.908248290463863,2.908248290463863,1.7320508075688772,1.2041241452319316,1.2041241452319316,0.9082482904638631,0.9082482904638631,0.0,0.0,0.0,0.0,-0.33,3.2451124978365313,3.67,1.0445318352059925,6.883957759412302,25.63065735666653,4.794537184071822,5.783244946364939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,4.794537184071822,5.783244946364939,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,0.0,13.847474399381248,0.0,0.0,17.07,0.0,4.794537184071822,5.783244946364939,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,9.444444444444445,0.0,0.0,0.16666666666666696,0.0,0.0,3.0555555555555554,0.0,0.6666666666666666,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5952999999999999,16.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0,,,14.0,,,,,,,,,,,,,,,,,23.0,9.444444444444445,0.16666666666666696,9.444444444444445,0.16666666666666696,0.3982369618339747,58.08,52.032,58.041864812,24.0,0.12626794356014373,-0.30034390268719197,0.30034390268719197,0.12626794356014373,1.5,1.5,1.5,16.136528004376032,10.550822254593742,1.6191254887288415,-1.5578363654489198,1.5007222223890127,-1.6913205217908898,5.717069246232807,-0.11449259533352314,2.8030394876740514,26.264662506490403,3.5773502691896257,2.908248290463863,2.908248290463863,1.7320508075688772,1.2041241452319316,1.2041241452319316,0.9082482904638631,0.9082482904638631,0.0,0.0,0.0,0.0,-0.33,3.2451124978365313,3.67,1.0445318352059925,6.883957759412302,25.63065735666653,4.794537184071822,5.783244946364939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,4.794537184071822,5.783244946364939,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,0.0,13.847474399381248,0.0,0.0,17.07,0.0,4.794537184071822,5.783244946364939,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,9.444444444444445,0.0,0.0,0.16666666666666696,0.0,0.0,3.0555555555555554,0.0,0.6666666666666666,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5952999999999999,16.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1,,,,,,,,,16.0,,,,,,,,,,,,9.896551870748299,-0.8700103930461072,9.896551870748299,0.0627777777777776,0.5600766476893669,146.142,136.06199999999998,146.0579088,58.0,0.302839787989633,-0.4812303886150306,0.4812303886150306,0.302839787989633,0.9,1.2,1.4,16.368303746958908,10.178073298009096,1.9850888590073617,-1.9155969275208165,1.9818468222751913,-1.9691874058509673,5.674388687360017,-0.13887551333382342,3.0550899395377584,113.70950594454669,7.983127663125442,5.539350896673833,5.539350896673833,4.625897657686229,3.0625686671503685,3.0625686671503685,1.994583867633254,1.994583867633254,1.031284333575184,1.031284333575184,0.5524514503058252,0.5524514503058252,-1.06,116.61674541783222,8.94,4.784806790484913,6.9399999999999995,58.475473304292144,10.213054789681411,0.0,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,12.841643245852019,12.841643245852019,0.0,19.802129157825057,11.938610575903699,0.0,0.0,0.0,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15166536558511,9.589074368143644,0.0,25.683286491704038,0.0,0.0,74.6,11.938610575903699,9.589074368143644,12.841643245852019,12.841643245852019,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,19.793103741496598,16.262565192743764,0.0,-1.740020786092214,0.0,1.017685185185185,0.0,0.0,0.6666666666666666,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.716,33.73959999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,0,,,37.5,,,,,,,,,,,,,,,,,,9.896551870748299,-0.8700103930461072,9.896551870748299,0.0627777777777776,0.5600766476893669,146.142,136.06199999999998,146.0579088,58.0,0.302839787989633,-0.4812303886150306,0.4812303886150306,0.302839787989633,0.9,1.2,1.4,16.368303746958908,10.178073298009096,1.9850888590073617,-1.9155969275208165,1.9818468222751913,-1.9691874058509673,5.674388687360017,-0.13887551333382342,3.0550899395377584,113.70950594454669,7.983127663125442,5.539350896673833,5.539350896673833,4.625897657686229,3.0625686671503685,3.0625686671503685,1.994583867633254,1.994583867633254,1.031284333575184,1.031284333575184,0.5524514503058252,0.5524514503058252,-1.06,116.61674541783222,8.94,4.784806790484913,6.9399999999999995,58.475473304292144,10.213054789681411,0.0,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,12.841643245852019,12.841643245852019,0.0,19.802129157825057,11.938610575903699,0.0,0.0,0.0,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15166536558511,9.589074368143644,0.0,25.683286491704038,0.0,0.0,74.6,11.938610575903699,9.589074368143644,12.841643245852019,12.841643245852019,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,19.793103741496598,16.262565192743764,0.0,-1.740020786092214,0.0,1.017685185185185,0.0,0.0,0.6666666666666666,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.716,33.73959999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
